dataset,model,accuracy,precision,recall,f1,statistical_parity_diff,disparate_impact_ratio,equal_opportunity_diff,false_positive_rate_diff,average_odds_diff,predictive_parity_diff,experiment,base_model,constraint
german_credit,logreg_baseline,0.705,0.7872340425531915,0.7928571428571428,0.7900355871886121,0.0071428571428572285,0.9898989898989898,0.025000000000000022,0.07500000000000007,0.050000000000000044,0.06998556998556993,baseline,logreg,
german_credit,logreg_thresh_equalized_odds,0.735,0.8041958041958042,0.8214285714285714,0.8127208480565371,0.026190476190476097,0.9642857142857144,0.09999999999999998,0.35,0.22499999999999998,0.1767676767676768,mitigation_threshold,logreg,equalized_odds
german_credit,tree_baseline,0.675,0.7586206896551724,0.7857142857142857,0.7719298245614035,0.13095238095238093,0.8286604361370716,0.15499999999999992,0.04999999999999993,0.10249999999999992,0.06517461878996555,baseline,tree,
german_credit,tree_thresh_equalized_odds,0.675,0.7777777777777778,0.75,0.7636363636363637,0.0357142857142857,0.9479166666666667,0.07000000000000006,0.07500000000000007,0.07250000000000006,0.08413461538461542,mitigation_threshold,tree,equalized_odds
german_credit,rf_baseline,0.725,0.7639751552795031,0.8785714285714286,0.8172757475083057,0.0071428571428571175,0.9911504424778761,0.0050000000000000044,0.025000000000000022,0.015000000000000013,0.049594395280236014,baseline,rf,
german_credit,rf_thresh_equalized_odds,0.715,0.8029197080291971,0.7857142857142857,0.7942238267148014,0.04999999999999993,0.9285714285714287,0.08500000000000008,0.07500000000000001,0.08000000000000004,0.08294086865515438,mitigation_threshold,rf,equalized_odds
german_credit,gb_baseline,0.75,0.7960526315789473,0.8642857142857143,0.8287671232876712,0.06190476190476191,0.9204892966360856,0.08999999999999997,0.050000000000000044,0.07,0.072327714956262,baseline,gb,
german_credit,gb_thresh_equalized_odds,0.725,0.8057553956834532,0.8,0.8028673835125448,0.040476190476190554,0.9427609427609427,0.10499999999999998,0.15000000000000002,0.1275,0.11338383838383836,mitigation_threshold,gb,equalized_odds
german_credit,logreg_thresh_demographic_parity,0.735,0.8270676691729323,0.7857142857142857,0.8058608058608059,0.0023809523809523725,0.9964285714285714,0.08500000000000008,0.25000000000000006,0.16750000000000007,0.1459677419354839,mitigation_threshold,logreg,demographic_parity
german_credit,tree_thresh_demographic_parity,0.675,0.7659574468085106,0.7714285714285715,0.7686832740213523,0.06428571428571428,0.9142857142857143,0.0050000000000000044,0.22499999999999998,0.11499999999999999,0.11319444444444449,mitigation_threshold,tree,demographic_parity
german_credit,rf_thresh_demographic_parity,0.725,0.7931034482758621,0.8214285714285714,0.8070175438596491,0.13095238095238093,0.8396501457725948,0.10999999999999999,0.22500000000000003,0.1675,0.08822278911564618,mitigation_threshold,rf,demographic_parity
german_credit,gb_thresh_demographic_parity,0.7,0.803030303030303,0.7571428571428571,0.7794117647058824,0.10476190476190472,0.8571428571428572,0.025000000000000022,0.325,0.17500000000000002,0.1477272727272727,mitigation_threshold,gb,demographic_parity
