dataset,method,constraint,eps,base_model,model,accuracy,base_accuracy,delta_accuracy,abs_statistical_parity_diff,base_abs_spd,delta_abs_spd,abs_equal_opportunity_diff,base_abs_eod,delta_abs_eod,abs_average_odds_diff,base_abs_aod,delta_abs_aod,di_gap,base_di_gap,delta_di_gap,abs_predictive_parity_diff,base_abs_ppd,delta_abs_ppd,fairness_penalty
adult_income,expgrad_dp,demographic_parity,0.05,gb,gb_dp_eps0.05,0.8411686586985392,0.8658698539176627,-0.024701195219123506,0.0142896771419024,0.1642633262544764,-0.149973649112574,0.259085334541265,0.0570102207693024,0.20207511377196258,0.1532237436488689,0.0568625779002621,0.0963611657486068,0.08559465995211601,0.6764529105130571,-0.5908582505609411,0.3283589138134593,0.0216695545387255,0.3066893592747338,0.13668750584158368
adult_income,threshold_optimizer,equalized_odds,,gb,gb_thresh_equalized_odds,0.846879150066401,0.8658698539176627,-0.01899070385126167,0.1109552793957323,0.1642633262544764,-0.0533080468587441,0.0251026618098068,0.0570102207693024,-0.0319075589594956,0.0158326776782807,0.0568625779002621,-0.0410299002219814,0.4764550232875564,0.6764529105130571,-0.19999788722550071,0.260435469752451,0.0216695545387255,0.23876591521372553,0.06802897060276955
adult_income,expgrad_dp,demographic_parity,0.005,logreg,logreg_dp_eps0.005,0.8288180610889774,0.848207171314741,-0.019389110225763617,0.0143431552113104,0.1739510410079906,-0.1596078857966802,0.2576995643334965,0.057805353551336,0.1998942107821605,0.1488299692722144,0.0669645556233316,0.08186541364888279,0.08516091043251461,0.6747252343685324,-0.5895643239360178,0.3025292317538742,0.0134942549211721,0.2890349768327021,0.13602135977240346
adult_income,threshold_optimizer,equalized_odds,,logreg,logreg_thresh_equalized_odds,0.8312749003984063,0.848207171314741,-0.016932270916334646,0.0967891073075976,0.1739510410079906,-0.07716193370039301,0.0104412587089031,0.057805353551336,-0.047364094842432904,0.0081630644525379,0.0669645556233316,-0.0588014911707937,0.42589725578932935,0.6747252343685324,-0.24882797857920302,0.2642600933872567,0.0134942549211721,0.2507658384660846,0.05361518300825035
adult_income,expgrad_dp,demographic_parity,0.05,rf,rf_dp_eps0.05,0.7855245683930943,0.8474103585657371,-0.06188579017264284,0.0522587052357617,0.179827450381288,-0.1275687451455263,0.0098940337051759,0.0692822270115517,-0.059388193306375806,0.0286398273101043,0.0742062655715769,-0.04556643826147261,0.17564394899876612,0.6710956745196504,-0.49545172552088423,0.3617319906154521,0.0074923959103969,0.35423959470505517,0.0310763694704688
adult_income,threshold_optimizer,equalized_odds,,rf,rf_thresh_equalized_odds,0.8435590969455511,0.8474103585657371,-0.0038512616201860084,0.200114173471664,0.179827450381288,0.02028672309037599,0.1054847596694029,0.0692822270115517,0.0362025326578512,0.1010476510191066,0.0742062655715769,0.02684138544752969,0.7006758171901226,0.6710956745196504,0.029580142670472265,0.016183574879227,0.0074923959103969,0.0086911789688301,0.15279946657053345
adult_income,expgrad_dp,demographic_parity,0.005,tree,tree_dp_eps0.005,0.748871181938911,0.8067065073041169,-0.05783532536520586,0.0736239361580171,0.1790324003884201,-0.10540846423040301,0.0274612130001925,0.0489880621551639,-0.0215268491549714,0.0163433729685815,0.0719754912323197,-0.05563211826373819,0.217675431292366,0.5815114490209023,-0.36383601772853635,0.2924475524475524,0.1215307065717585,0.17091684587579387,0.0505425745791048
adult_income,threshold_optimizer,demographic_parity,,tree,tree_thresh_demographic_parity,0.7425630810092961,0.8067065073041169,-0.06414342629482073,0.0015687769595615,0.1790324003884201,-0.1774636234288586,0.0265746856455113,0.0489880621551639,-0.0224133765096526,0.0601658417416471,0.0719754912323197,-0.011809649490672591,0.004814996917323233,0.5815114490209023,-0.5766964521035791,0.3718326434958752,0.1215307065717585,0.2503019369241167,0.014071731302536401
