method,constraint,eps,base_model,model,accuracy,|SPD|,|EOD|,DI gap |DI-1|,|AOD|,|PPD|,Brier (overall)
expgrad_dp,demographic_parity,0.05,gb,gb_dp_eps0.05,0.77,0.0047619047619047,0.025,0.006079027355623046,0.075,0.0810072223306657,0.2266893257818992
baseline,,,gb,gb,0.75,0.0619047619047619,0.0899999999999999,0.07951070336391441,0.07,0.072327714956262,0.1751147924603719
expgrad_dp,demographic_parity,0.01,gb,gb_dp_eps0.01,0.745,0.0547619047619047,0.0799999999999999,0.07098765432098764,0.065,0.0706287683031868,0.2236723822147322
expgrad_dp,demographic_parity,0.01,rf,rf_dp_eps0.01,0.74,0.0428571428571429,0.0549999999999999,0.04761904761904756,0.0524999999999999,0.0444444444444445,0.2361419408579758
