method,constraint,eps,base_model,model,accuracy,|SPD|,|EOD|,DI gap |DI-1|,|AOD|,|PPD|
baseline,,,gb,gb,0.8658698539176627,0.1642633262544764,0.0570102207693024,0.6764529105130571,0.0568625779002621,0.0216695545387255
threshold_optimizer,equalized_odds,,gb,gb_thresh_equalized_odds,0.846879150066401,0.1109552793957323,0.0251026618098068,0.4764550232875564,0.0158326776782807,0.260435469752451
threshold_optimizer,equalized_odds,,logreg,logreg_thresh_equalized_odds,0.8312749003984063,0.0967891073075976,0.0104412587089031,0.42589725578932935,0.0081630644525379,0.2642600933872567
expgrad_dp,demographic_parity,0.05,rf,rf_dp_eps0.05,0.7855245683930943,0.0522587052357617,0.0098940337051759,0.17564394899876612,0.0286398273101043,0.3617319906154521
