dataset,method,constraint,eps,base_model,model,accuracy,base_accuracy,delta_accuracy,abs_statistical_parity_diff,base_abs_spd,delta_abs_spd,abs_equal_opportunity_diff,base_abs_eod,delta_abs_eod,abs_average_odds_diff,base_abs_aod,delta_abs_aod,di_gap,base_di_gap,delta_di_gap,abs_predictive_parity_diff,base_abs_ppd,delta_abs_ppd,fairness_penalty
german_credit,expgrad_dp,demographic_parity,0.05,gb,gb_dp_eps0.05,0.745,0.75,-0.0050000000000000044,0.0357142857142857,0.0619047619047619,-0.0261904761904762,0.065,0.0899999999999999,-0.024999999999999897,0.07,0.07,0.0,0.045454545454545414,0.07951070336391441,-0.034056157909369,0.0757575757575758,0.072327714956262,0.0034298608013138,0.05035714285714285
german_credit,threshold_optimizer,demographic_parity,,gb,gb_thresh_demographic_parity,0.7,0.75,-0.050000000000000044,0.1047619047619047,0.0619047619047619,0.042857142857142795,0.025,0.0899999999999999,-0.06499999999999989,0.175,0.07,0.10499999999999998,0.1428571428571428,0.07951070336391441,0.06334643949322838,0.1477272727272727,0.072327714956262,0.0753995577710107,0.06488095238095234
german_credit,expgrad_dp,demographic_parity,0.005,logreg,logreg_dp_eps0.005,0.71,0.705,0.0050000000000000044,0.0095238095238094,0.0071428571428572,0.0023809523809522,0.0,0.025,-0.025,0.0375,0.05,-0.012500000000000004,0.013289036544850363,0.010101010101010166,0.0031880264438401973,0.0638947615691801,0.0699855699855699,-0.006090808416389801,0.0047619047619047
german_credit,threshold_optimizer,demographic_parity,,logreg,logreg_thresh_demographic_parity,0.735,0.705,0.030000000000000027,0.0023809523809523,0.0071428571428572,-0.004761904761904899,0.085,0.025,0.060000000000000005,0.1675,0.05,0.11750000000000001,0.0035714285714285587,0.010101010101010166,-0.006529581529581607,0.1459677419354839,0.0699855699855699,0.075982171949914,0.043690476190476155
german_credit,expgrad_dp,demographic_parity,0.01,rf,rf_dp_eps0.01,0.745,0.725,0.020000000000000018,0.0357142857142857,0.0071428571428571,0.0285714285714286,0.025,0.005,0.02,0.0625,0.015,0.0475,0.04201680672268904,0.008849557522124019,0.03316724920056502,0.0639834881320949,0.049594395280236,0.014389092851858895,0.03035714285714285
german_credit,threshold_optimizer,equalized_odds,,rf,rf_thresh_equalized_odds,0.715,0.725,-0.010000000000000009,0.0499999999999999,0.0071428571428571,0.0428571428571428,0.085,0.005,0.08,0.08,0.015,0.065,0.07142857142857117,0.008849557522124019,0.06257901390644716,0.0829408686551543,0.049594395280236,0.033346473374918306,0.06749999999999995
german_credit,expgrad_dp,demographic_parity,0.02,tree,tree_dp_eps0.02,0.63,0.675,-0.04500000000000004,0.0142857142857143,0.1309523809523809,-0.1166666666666666,0.025,0.1549999999999999,-0.1299999999999999,0.025,0.1024999999999999,-0.0774999999999999,0.020000000000000018,0.17133956386292837,-0.15133956386292835,0.0595238095238095,0.0651746187899655,-0.005650809266156,0.01964285714285715
german_credit,threshold_optimizer,demographic_parity,,tree,tree_thresh_demographic_parity,0.675,0.675,0.0,0.0642857142857142,0.1309523809523809,-0.06666666666666671,0.005,0.1549999999999999,-0.14999999999999988,0.1149999999999999,0.1024999999999999,0.012499999999999997,0.08571428571428563,0.17133956386292837,-0.08562527814864274,0.1131944444444444,0.0651746187899655,0.048019825654478904,0.0346428571428571
