dataset,model,accuracy,precision,recall,f1,statistical_parity_diff,disparate_impact_ratio,equal_opportunity_diff,false_positive_rate_diff,average_odds_diff,predictive_parity_diff,experiment,base_model,constraint
german_credit,logreg_baseline,0.705,0.7872340425531915,0.7928571428571428,0.7900355871886121,0.0071428571428572285,0.9898989898989898,0.025000000000000022,0.07500000000000007,0.050000000000000044,0.06998556998556993,baseline,logreg,
german_credit,logreg_thresh_equalized_odds,0.75,0.8125,0.8357142857142857,0.823943661971831,0.042857142857142816,0.942857142857143,0.04999999999999993,0.30000000000000004,0.175,0.14747474747474743,mitigation_threshold,logreg,equalized_odds
german_credit,logreg_thresh_demographic_parity,0.73,0.8257575757575758,0.7785714285714286,0.8014705882352942,0.00952380952380949,0.9857142857142858,0.07500000000000007,0.25000000000000006,0.16250000000000006,0.14456521739130435,mitigation_threshold,logreg,demographic_parity
