method,constraint,eps,base_model,model,accuracy,|SPD|,|EOD|,DI gap |DI-1|,|AOD|,|PPD|,Brier (overall)
baseline,,,gb,gb,0.8658698539176627,0.1642633262544764,0.0570102207693024,0.6764529105130571,0.0568625779002621,0.0216695545387255,0.0947037793177162
threshold_optimizer,equalized_odds,,gb,gb_thresh_equalized_odds,0.8464807436918991,0.106884446910489,0.0146488363471646,0.45897438967445303,0.0089273982888411,0.2682107093950421,0.1384609423788295
threshold_optimizer,equalized_odds,,logreg,logreg_thresh_equalized_odds,0.8316733067729084,0.1007549494645282,0.0060097643676553,0.44315581803925796,0.0080694156866561,0.2524924143909839,0.15484607698952
