method,constraint,eps,base_model,model,accuracy,Fairness Index ,|SPD|,|EOD|,DI gap |DI-1|,|AOD|,|PPD|,Brier (overall)
expgrad_dp,demographic_parity,0.05,gb,gb_dp_eps0.05,0.77,0.078125,0.0047619047619047,0.025,0.006079027355623046,0.075,0.0810072223306657,0.2266893257818992
baseline,,,rf,rf,0.725,0.022977941176470642,0.0071428571428571,0.005,0.008849557522124019,0.015,0.049594395280236,0.1661419999999999
expgrad_dp,demographic_parity,0.005,logreg,logreg_dp_eps0.005,0.71,0.014705882352940973,0.0095238095238094,0.0,0.013289036544850363,0.0375,0.0638947615691801,0.2847222222222222
