dataset,model,accuracy,precision,recall,f1,statistical_parity_diff,disparate_impact_ratio,equal_opportunity_diff,false_positive_rate_diff,average_odds_diff,predictive_parity_diff,experiment,base_model,eps,constraint,method,brier_overall,brier_min_group,brier_max_group,brier_diff,brier_n_mc,di_gap,abs_statistical_parity_diff,abs_equal_opportunity_diff,abs_average_odds_diff,abs_predictive_parity_diff,fairness_penalty,tradeoff_score
adult_income,gb,0.8658698539176627,0.7947368421052632,0.6121621621621621,0.6916030534351145,0.1642633262544764,0.3235470894869429,0.0570102207693024,0.0567149350312218,0.0568625779002621,0.0216695545387255,baseline,gb,,,baseline,0.0947037793177162,0.050485399964136,0.1161135455307978,0.0656281455666617,0,0.6764529105130571,0.1642633262544764,0.0570102207693024,0.0568625779002621,0.0216695545387255,0.1106367735118894,0.810551467161718
adult_income,gb_thresh_equalized_odds,0.848472775564409,0.7405020352781547,0.59,0.6567388688327317,0.1138048621354025,0.5113085331832713,0.018239500620055,0.0105521493948886,0.0143958250074718,0.2413960234527309,mitigation_threshold,gb,,equalized_odds,threshold_optimizer,0.1384609423788295,0.062871089867573,0.175060227427396,0.1121891375598229,50,0.4886914668167287,0.1138048621354025,0.018239500620055,0.0143958250074718,0.2413960234527309,0.06602218137772875,0.8154616848755447
adult_income,gb_dp_eps0.01,0.8427622841965472,0.7756622516556292,0.5064864864864865,0.6128188358404185,0.0163637275787025,0.901282554256186,0.257608169760849,0.0454891577107453,0.1515486637357971,0.3235508525921198,mitigation_dp,gb,0.01,demographic_parity,expgrad_dp,0.1511632852003568,0.0930503546330522,0.1793005501926864,0.0862501955596341,50,0.09871744574381403,0.0163637275787025,0.257608169760849,0.1515486637357971,0.3235508525921198,0.13698594866977576,0.7742693098616593
adult_income,gb_dp_eps0.05,0.8409694555112882,0.7688504326328801,0.5043243243243243,0.6091072302921495,0.0156352343128773,0.9059568923694332,0.2580400091166085,0.0453828299085554,0.151711419512582,0.3226253224178536,mitigation_dp,gb,0.05,demographic_parity,expgrad_dp,0.1517062675061781,0.0941959306958774,0.1795517671365129,0.0853558364406355,50,0.09404310763056678,0.0156352343128773,0.2580400091166085,0.151711419512582,0.3226253224178536,0.1368376217147429,0.7725506446539168
adult_income,gb_thresh_demographic_parity,0.8378486055776893,0.732274741506647,0.5359459459459459,0.6189138576779026,0.0056109045995973,0.969438609425918,0.3222624040999605,0.0644148509653935,0.193338627532677,0.3482834994462901,mitigation_threshold,gb,,demographic_parity,threshold_optimizer,0.1598078362928955,0.1133608996539792,0.18229663098167,0.0689357313276908,50,0.030561390574082026,0.0056109045995973,0.3222624040999605,0.193338627532677,0.3482834994462901,0.1639366543497789,0.7558802784027998
adult_income,logreg_thresh_equalized_odds,0.8314741035856573,0.6987004103967168,0.5521621621621622,0.6168478260869565,0.1026789363464742,0.5489683259274141,0.0032850636706002,0.0111033233534661,0.0071941935120331,0.2535767164431659,mitigation_threshold,logreg,,equalized_odds,threshold_optimizer,0.15484607698952,0.0747414439428207,0.1936313398414402,0.1188898958986195,50,0.45103167407258593,0.1026789363464742,0.0032850636706002,0.0071941935120331,0.2535767164431659,0.0529820000085372,0.8049831035813887
adult_income,logreg_dp_eps0.02,0.8293492695883135,0.7291159772911597,0.4859459459459459,0.5831981835874148,0.013738969370887,0.9183308012850666,0.2648808928792774,0.0397867885018084,0.1523338406905429,0.2995848297292478,mitigation_dp,logreg,0.02,demographic_parity,expgrad_dp,0.1660353934353599,0.1020931807900788,0.1969950948965077,0.0949019141064288,50,0.08166919871493339,0.013738969370887,0.2648808928792774,0.1523338406905429,0.2995848297292478,0.1393099311250822,0.7596943040257723
adult_income,logreg_dp_eps0.05,0.8288180610889774,0.7267582861762328,0.4859459459459459,0.5824425008098477,0.0145273797384834,0.9140470424452528,0.2627673933868029,0.0390169280154223,0.1508921607011126,0.297654194371142,mitigation_dp,logreg,0.05,demographic_parity,expgrad_dp,0.1661309396414511,0.102182385524012,0.1970937115325498,0.0949113260085377,50,0.08595295755474719,0.0145273797384834,0.2627673933868029,0.1508921607011126,0.297654194371142,0.13864738656264314,0.7594943678076558
adult_income,logreg_dp_eps0.005,0.8282868525896414,0.7260551948051948,0.4835135135135135,0.5804672290720312,0.0126355880183528,0.9246690295991618,0.2698578985760155,0.0395320475404583,0.1546949730582369,0.296863964272386,mitigation_dp,logreg,0.005,demographic_parity,expgrad_dp,0.1658762245932483,0.1021554986433754,0.1967286860687313,0.0945731874253559,50,0.07533097040083825,0.0126355880183528,0.2698578985760155,0.1546949730582369,0.296863964272386,0.14124674329718415,0.7576634809410493
adult_income,logreg_dp_eps0.01,0.8268924302788845,0.7227884223399919,0.4791891891891892,0.576304241833252,0.0142703600448132,0.914822739191341,0.2622675793176367,0.0377011378517011,0.1499843585846689,0.2936848683696587,mitigation_dp,logreg,0.01,demographic_parity,expgrad_dp,0.1661091856767174,0.1024808944078801,0.1969168918956784,0.0944359974877982,50,0.08517726080865895,0.0142703600448132,0.2622675793176367,0.1499843585846689,0.2936848683696587,0.13826896968122496,0.757757945438272
