dataset,model,accuracy,precision,recall,f1,statistical_parity_diff,disparate_impact_ratio,equal_opportunity_diff,false_positive_rate_diff,average_odds_diff,predictive_parity_diff,experiment,base_model,eps,brier_overall,brier_min_group,brier_max_group,brier_diff,brier_n_mc
adult_income,logreg_dp_eps0.005,0.8282868525896414,0.7260551948051948,0.4835135135135135,0.5804672290720312,0.012635588018352878,0.9246690295991618,0.2698578985760155,0.039532047540458325,0.1546949730582369,0.29686396427238604,mitigation_dp,logreg,0.005,0.16587622459324838,0.10215549864337542,0.19672868606873137,0.09457318742535595,50
adult_income,logreg_dp_eps0.01,0.8268924302788845,0.7227884223399919,0.4791891891891892,0.576304241833252,0.014270360044813274,0.914822739191341,0.2622675793176367,0.037701137851701164,0.14998435858466894,0.2936848683696587,mitigation_dp,logreg,0.01,0.16610918567671742,0.10248089440788016,0.1969168918956784,0.09443599748779824,50
adult_income,logreg_dp_eps0.02,0.8293492695883135,0.7291159772911597,0.4859459459459459,0.5831981835874148,0.013738969370887089,0.9183308012850666,0.2648808928792774,0.03978678850180849,0.15233384069054295,0.2995848297292478,mitigation_dp,logreg,0.02,0.16603539343535997,0.10209318079007887,0.19699509489650774,0.09490191410642887,50
adult_income,logreg_dp_eps0.05,0.8288180610889774,0.7267582861762328,0.4859459459459459,0.5824425008098477,0.01452737973848342,0.9140470424452529,0.26276739338680294,0.03901692801542238,0.15089216070111267,0.29765419437114204,mitigation_dp,logreg,0.05,0.16613093964145112,0.102182385524012,0.1970937115325498,0.09491132600853779,50
adult_income,tree_dp_eps0.005,0.752324037184595,0.4968098681412165,0.6313513513513513,0.5560580814091883,0.08667832205075116,0.7454341725473308,0.013393874621497881,0.006793179707358626,0.010093527164428254,0.2854146043122887,mitigation_dp,tree,0.005,0.1756829825159591,0.11774569995268254,0.2037352018155922,0.08598950186290967,50
adult_income,tree_dp_eps0.01,0.7529880478087649,0.4978911851539435,0.6381081081081081,0.5593461265103056,0.08095340044195831,0.7627969522712819,0.024461186153036718,0.00037090179086959885,0.012416043971953158,0.2888584041685397,mitigation_dp,tree,0.01,0.17867828343322908,0.12066285140960677,0.2067683413352747,0.08610548992566792,50
adult_income,tree_dp_eps0.02,0.750132802124834,0.49321559336635795,0.6189189189189189,0.5489632026848855,0.0899265831960793,0.733658774170865,0.0026675790891501627,0.011639288896440642,0.007153433992795402,0.28311989949734284,mitigation_dp,tree,0.02,0.17954814248518514,0.11921601469817839,0.20875990397306962,0.08954388927489124,50
adult_income,tree_dp_eps0.05,0.748539176626826,0.4908862350722816,0.6332432432432432,0.5530508674613478,0.07977918973343029,0.7673794717743916,0.021734200591665642,0.0006647126474757514,0.011199456619570697,0.2882230578446276,mitigation_dp,tree,0.05,0.17731517987116927,0.11979944498956324,0.20516329315325568,0.08536384816369244,50
adult_income,rf_dp_eps0.01,0.7853917662682602,0.555032925682032,0.6378378378378379,0.5935613682092555,0.05441395568192553,0.8186737575354686,0.024779353509066016,0.04263757978518376,0.03370846664712489,0.3504559473133596,mitigation_dp,rf,0.01,0.1561223032902683,0.08896385476981074,0.188639249932725,0.09967539516291425,50
adult_income,rf_dp_eps0.05,0.7873173970783532,0.559378733572282,0.6327027027027027,0.5937856689917566,0.06744705866706693,0.7750952006918409,0.007218457590918992,0.031990640006838544,0.019604548798878768,0.34901295097185525,mitigation_dp,rf,0.05,0.15570319823594395,0.08922611051824192,0.1878902418899372,0.09866413137169527,50
adult_income,gb_dp_eps0.01,0.8427622841965472,0.7756622516556292,0.5064864864864865,0.6128188358404185,0.01636372757870258,0.9012825542561861,0.257608169760849,0.04548915771074538,0.15154866373579717,0.3235508525921198,mitigation_dp,gb,0.01,0.15116328520035685,0.09305035463305227,0.1793005501926864,0.08625019555963413,50
adult_income,gb_dp_eps0.05,0.8409694555112882,0.7688504326328801,0.5043243243243243,0.6091072302921495,0.015635234312877305,0.9059568923694333,0.25804000911660857,0.045382829908555467,0.15171141951258202,0.3226253224178536,mitigation_dp,gb,0.05,0.15170626750617816,0.09419593069587744,0.17955176713651297,0.08535583644063553,50
