method,constraint,eps,base_model,model,accuracy,|SPD|,|EOD|,DI gap |DI-1|,|AOD|,|PPD|,Brier (overall)
baseline,,,gb,gb,0.8658698539176627,0.1642633262544764,0.0570102207693024,0.6764529105130571,0.0568625779002621,0.0216695545387255,0.0947037793177162
baseline,,,logreg,logreg,0.848207171314741,0.1739510410079906,0.057805353551336,0.6747252343685324,0.0669645556233316,0.0134942549211721,0.1047545109236629
baseline,,,rf,rf,0.8474103585657371,0.179827450381288,0.0692822270115517,0.6710956745196504,0.0742062655715769,0.0074923959103969,0.1067785474767596
threshold_optimizer,equalized_odds,,gb,gb_thresh_equalized_odds,0.8464807436918991,0.106884446910489,0.0146488363471646,0.45897438967445303,0.0089273982888411,0.2682107093950421,0.1384609423788295
threshold_optimizer,demographic_parity,,gb,gb_thresh_demographic_parity,0.8387782204515273,0.0046253916401019,0.3184443958276092,0.025193513445477822,0.191572398953326,0.3502202643171805,0.1598078362928955
