method,constraint,eps,base_model,model,accuracy,|SPD|,|EOD|,DI gap |DI-1|,|AOD|,|PPD|
expgrad_dp,demographic_parity,0.01,gb,gb_dp_eps0.01,0.755,0.0547619047619047,0.0899999999999999,0.07098765432098764,0.0825,0.0798880275624461
expgrad_dp,demographic_parity,0.05,rf,rf_dp_eps0.05,0.745,0.0214285714285713,0.0499999999999999,0.025210084033613356,0.0249999999999999,0.0307640297498309
threshold_optimizer,demographic_parity,,logreg,logreg_thresh_demographic_parity,0.735,0.0023809523809523,0.085,0.0035714285714285587,0.1675,0.1459677419354839
