method,constraint,eps,base_model,model,accuracy,|SPD|,|EOD|,DI gap |DI-1|,|AOD|,|PPD|,Brier (overall)
threshold_optimizer,equalized_odds,,logreg,logreg_thresh_equalized_odds,0.755,0.026190476190476,0.0499999999999999,0.03571428571428559,0.1499999999999999,0.1313131313131312,0.2262193074151361
baseline,,,rf,rf,0.725,0.0071428571428571,0.005,0.008849557522124019,0.015,0.049594395280236,0.1661419999999999
expgrad_dp,demographic_parity,0.05,logreg,logreg_dp_eps0.05,0.715,0.0023809523809523,0.01,0.0033222591362126463,0.0425,0.0658139534883721,0.2879638866601583
threshold_optimizer,demographic_parity,,rf,rf_thresh_demographic_parity,0.705,0.0738095238095238,0.0,0.09627329192546596,0.1374999999999999,0.1290900941281936,0.2530257777777775
