method,constraint,eps,base_model,model,accuracy,|SPD|,|EOD|,DI gap |DI-1|,|AOD|,|PPD|
baseline,,,gb,gb,0.8658698539176627,0.1642633262544764,0.0570102207693024,0.6764529105130571,0.0568625779002621,0.0216695545387255
baseline,,,logreg,logreg,0.848207171314741,0.1739510410079906,0.057805353551336,0.6747252343685324,0.0669645556233316,0.0134942549211721
baseline,,,rf,rf,0.8474103585657371,0.179827450381288,0.0692822270115517,0.6710956745196504,0.0742062655715769,0.0074923959103969
