dataset,model,accuracy,precision,recall,f1,statistical_parity_diff,disparate_impact_ratio,equal_opportunity_diff,false_positive_rate_diff,average_odds_diff,predictive_parity_diff,experiment,base_model,eps,brier_overall,brier_min_group,brier_max_group,brier_diff,brier_n_mc
german_credit,logreg_dp_eps0.005,0.71,0.7887323943661971,0.8,0.7943262411347518,0.00952380952380949,0.9867109634551495,0.0,0.07500000000000007,0.03750000000000003,0.06389476156918017,mitigation_dp,logreg,0.005,0.2847222222222222,0.27440476190476193,0.3087962962962963,0.03439153439153436,50
german_credit,logreg_dp_eps0.01,0.7,0.7816901408450704,0.7928571428571428,0.7872340425531915,0.00952380952380949,0.9867109634551495,0.025000000000000022,0.125,0.07500000000000001,0.08715057552266858,mitigation_dp,logreg,0.01,0.2848611111111111,0.27460317460317457,0.3087962962962963,0.03419312169312172,50
german_credit,logreg_dp_eps0.02,0.705,0.7872340425531915,0.7928571428571428,0.7900355871886121,0.04047619047619044,0.9448051948051949,0.010000000000000009,0.14999999999999997,0.07999999999999999,0.08716026241799435,mitigation_dp,logreg,0.02,0.2848611111111111,0.27460317460317457,0.3087962962962963,0.03419312169312172,50
german_credit,logreg_dp_eps0.05,0.705,0.7832167832167832,0.8,0.7915194346289752,0.026190476190476097,0.9642857142857144,0.0,0.125,0.0625,0.08080808080808077,mitigation_dp,logreg,0.05,0.2879638866601583,0.274208455599829,0.3200598924675933,0.04585143686776433,50
german_credit,tree_dp_eps0.005,0.68,0.75,0.8142857142857143,0.7808219178082192,0.10952380952380947,0.861861861861862,0.16000000000000003,0.025000000000000022,0.09250000000000003,0.09184794550648201,mitigation_dp,tree,0.005,0.27633227821740947,0.251090973998929,0.335228654727197,0.084137680728268,50
german_credit,tree_dp_eps0.01,0.685,0.7655172413793103,0.7928571428571428,0.7789473684210526,0.08333333333333337,0.8888888888888888,0.13,0.04999999999999993,0.08999999999999997,0.09047619047619049,mitigation_dp,tree,0.01,0.26033394418992084,0.23294567739632294,0.3242399000416493,0.09129422264532638,50
german_credit,tree_dp_eps0.02,0.635,0.7310344827586207,0.7571428571428571,0.743859649122807,0.1071428571428571,0.8584905660377359,0.11499999999999999,0.07500000000000007,0.09500000000000003,0.05297532656023218,mitigation_dp,tree,0.02,0.3238424822990421,0.29869352055691084,0.38252339303068167,0.08382987247377083,50
german_credit,tree_dp_eps0.05,0.685,0.7583892617449665,0.8071428571428572,0.7820069204152249,0.08809523809523812,0.8858024691358024,0.11499999999999999,0.0,0.057499999999999996,0.07046070460704612,mitigation_dp,tree,0.05,0.27138733860891295,0.24873624085202592,0.3242399000416493,0.0755036591896234,50
german_credit,rf_dp_eps0.01,0.74,0.7528735632183908,0.9357142857142857,0.8343949044585988,0.04285714285714293,0.9523809523809523,0.05499999999999994,0.050000000000000044,0.05249999999999999,0.04444444444444451,mitigation_dp,rf,0.01,0.23614194085797585,0.21757410602725055,0.2794668887963348,0.06189278276908425,50
german_credit,rf_dp_eps0.05,0.72,0.7470588235294118,0.9071428571428571,0.8193548387096774,0.04761904761904767,0.9449035812672175,0.04500000000000004,0.025000000000000022,0.03500000000000003,0.046044864226682414,mitigation_dp,rf,0.05,0.24719533527696794,0.23571940262985658,0.273972511453561,0.03825310882370442,50
german_credit,gb_dp_eps0.01,0.745,0.7947019867549668,0.8571428571428571,0.8247422680412371,0.05476190476190479,0.9290123456790124,0.07999999999999996,0.050000000000000044,0.065,0.07062876830318687,mitigation_dp,gb,0.01,0.22367238221473223,0.19759795212058867,0.2845127191010671,0.08691476698047845,50
german_credit,gb_dp_eps0.05,0.77,0.8012820512820513,0.8928571428571429,0.8445945945945946,0.004761904761904745,0.993920972644377,0.025000000000000022,0.125,0.07500000000000001,0.0810072223306657,mitigation_dp,gb,0.05,0.2266893257818992,0.20188041017823544,0.2845767955237813,0.08269638534554585,50
